./tes# ./testIf GET InternetGatewayDevice.
out0 0 --> parameter = InternetGatewayDevice.ManagementServer.URL | value = http://10.64.16.14:9034/TR069ACS
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.EthernetPriorityExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.VLANIDCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.VLANIDExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassQueue | value = 2
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationKey | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationOrder | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.Protocol | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ProtocolExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestPort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestPortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestPortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourcePort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourcePortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourcePortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DSCPCheck | value = 40
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DSCPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DSCPMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.EthernetPriorityCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.EthernetPriorityExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.VLANIDCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.VLANIDExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassQueue | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.Queue.3.QueueKey | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.Queue.3.QueueEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Queue.3.QueueStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Queue.3.QueueInterface | value = WAN
--> parameter = InternetGatewayDevice.QueueManagement.Queue.3.QueuePrecedence | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Queue.2.QueueKey | value = 2
--> parameter = InternetGatewayDevice.QueueManagement.Queue.2.QueueEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Queue.2.QueueStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Queue.2.QueueInterface | value = WAN
--> parameter = InternetGatewayDevice.QueueManagement.Queue.2.QueuePrecedence | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.Queue.1.QueueKey | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Queue.1.QueueEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Queue.1.QueueStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Queue.1.QueueInterface | value = WAN
--> parameter = InternetGatewayDevice.QueueManagement.Queue.1.QueuePrecedence | value = 5
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfileNumberOfEntries | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.3.EntryID | value = 3
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.3.Codec | value = G.729
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.3.PacketizationPeriod | value = 10,20,30
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.3.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.2.EntryID | value = 2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.2.Codec | value = G.711ALaw
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.2.PacketizationPeriod | value = 10,20,30
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.2.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.1.EntryID | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.1.Codec | value = G.729a
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.1.PacketizationPeriod | value = 10,20,30
--> parameter = InternetGatewayDevice.Services.VoiceService.1.Capabilities.Codecs.1.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Enable | value = Enabled
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.NumberOfLines | value = 2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.DTMFMethod | value = RFC2833
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Reset | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Name | value = Telecomitalia
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.MaxSessions | value = 10
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.UserAgentDomain | value = 10.64.34.14
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.UserAgentPort | value = 5060
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.UserAgentTransport | value = UDP
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.OutboundProxy | value = 10.64.34.14
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.OutboundProxyPort | value = 5060
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrationPeriod | value = 3600
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.UseCodecPriorityInSDPResponse | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.DSCPMark | value = 40
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.VLANIDMark | value = -1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.X_TELECOMITALIA_IT_AuthRealm | value = digest.telecomitalia.it
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.DSCPMark | value = 40
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.TelephoneEventPayloadType | value = 97
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.VLANIDMark | value = -1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.RTCP.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.RTCP.TxRepeatInterval | value = 5000
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.RTP.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_TELECOMITALIA_IT_LineLog.NumberOfFirstCalls | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_TELECOMITALIA_IT_LineLog.MaxNumberOfFirstCall | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.X_TELECOMITALIA_IT_LineLog.ClearLog | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Enable | value = Enabled
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.DirectoryNumber | value = 06664852521
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Status | value = Up
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.CallState | value = Idle
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.PhyReferenceList | value = Porta_Line2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.X_TELECOMITALIA_IT_AssocTime | value = 2010-05-04T11:23:46Z
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.X_TELECOMITALIA_IT_POSConfig | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.SIP.AuthUserName | value = 06664852521
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.SIP.AuthPassword | value = sagem
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.EntryID | value = 3
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.Codec | value = G.729
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.3.Priority | value = 3
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.EntryID | value = 2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.Codec | value = G.711ALaw
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.2.Codec.List.2.Priority | value = 2
